volcano,sector_id,latitude,longitude,SlopeMean(,AzimAxisBa,alternate_,lithology,font_weight,paguican_c,rrl_class,age,rrl,sector,volcano_2,sector_mea,sector_med,sector_std,sector_min,sector_max,sector_ran,sector_maj,sector_iqr,cov
AnilaoHill,AnilaoHill_16,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,16,AnilaoHill,22.28735232,22.74802017,4.713733965,11.04327869,30.06492805,19.02164936,11.04327869,7.4379,13.43524885
AnilaoHill,AnilaoHill_17,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,17,AnilaoHill,24.13772402,24.86436558,5.650412046,11.98053551,31.49422646,19.51369095,11.98053551,10.0243,13.43524885
AnilaoHill,AnilaoHill_18,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,18,AnilaoHill,23.89694273,25.00616932,5.528539033,9.188074112,30.88951302,21.7014389,9.188074112,7.5126,13.43524885
AnilaoHill,AnilaoHill_19,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,19,AnilaoHill,20.18416515,20.27107048,3.819998015,6.89467907,27.89842224,21.00374317,6.89467907,4.4369,13.43524885
AnilaoHill,AnilaoHill_20,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,20,AnilaoHill,17.9270648,18.19240761,2.101260751,11.78089333,21.10553741,9.324644089,11.78089333,2.6701,13.43524885
AnilaoHill,AnilaoHill_21,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,21,AnilaoHill,18.00191872,18.96462059,4.061905412,4.249401093,23.67173386,19.42233276,4.249401093,6.3824,13.43524885
AnilaoHill,AnilaoHill_22,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,22,AnilaoHill,21.07830102,22.00383759,3.805608121,9.747013092,25.30146599,15.5544529,9.747013092,6.5645,13.43524885
AnilaoHill,AnilaoHill_23,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,23,AnilaoHill,22.4486965,23.64130306,3.132516785,16.0643959,26.39595985,10.33156395,16.0643959,5.3716,13.43524885
AnilaoHill,AnilaoHill_24,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,24,AnilaoHill,22.13358314,22.25899029,2.959109965,15.45244408,25.93806076,10.48561668,15.45244408,3.838,13.43524885
BigainHill1,BigainHill1_1,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,1,BigainHill1,14.97401738,13.13096237,5.909812073,4.595794201,28.61778831,24.02199411,4.595794201,9.3944,18.22609507
BigainHill1,BigainHill1_2,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,2,BigainHill1,14.91030657,16.19966698,5.427923829,5.2744627,25.52603722,20.25157452,5.2744627,9.85266,18.22609507
BigainHill1,BigainHill1_3,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,3,BigainHill1,14.87705947,15.79087448,4.728128282,0.979210198,25.55117989,24.57196969,0.979210198,6.6295,18.22609507
BigainHill1,BigainHill1_4,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,4,BigainHill1,15.41970857,15.87084341,7.272574824,2.882166624,26.99636841,24.11420178,2.882166624,14.15183,18.22609507
BigainHill1,BigainHill1_5,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,5,BigainHill1,14.56632844,12.52881527,6.49482403,1.231233358,26.67876816,25.4475348,1.231233358,12.62061,18.22609507
BigainHill1,BigainHill1_6,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,6,BigainHill1,17.53929791,16.19858646,5.125750616,4.186745644,26.8481636,22.66141796,14.43527412,8.2807,18.22609507
BigainHill1,BigainHill1_7,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,7,BigainHill1,21.05115255,23.12692261,5.995998448,1.461035252,29.69505882,28.23402357,1.461035252,9.745,18.22609507
BigainHill1,BigainHill1_8,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,8,BigainHill1,21.43109642,23.99363327,7.01723833,2.20166254,32.28750229,30.08583975,2.20166254,12.8509,18.22609507
BigainHill1,BigainHill1_9,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,9,BigainHill1,16.68153364,16.85351944,7.076142829,0.44249326,30.1656723,29.72317904,0.44249326,11.372,18.22609507
BigainHill1,BigainHill1_10,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,10,BigainHill1,16.07924882,16.18545151,6.316467994,2.258982658,28.70981789,26.45083523,2.258982658,11.126,18.22609507
BigainHill1,BigainHill1_11,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,11,BigainHill1,16.30005813,15.41577244,5.215227308,1.542679787,28.97827148,27.4355917,1.542679787,7.2107,18.22609507
BigainHill1,BigainHill1_12,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,12,BigainHill1,14.95835723,13.38944674,5.739359578,4.354576111,28.38795662,24.03338051,4.354576111,9.9118,18.22609507
BigainHill1,BigainHill1_13,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,13,BigainHill1,16.06263002,16.8204031,5.075315084,4.123137951,25.404953,21.28181505,4.123137951,8.9549,18.22609507
BigainHill1,BigainHill1_14,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,14,BigainHill1,16.55240642,16.70069313,3.776123571,6.712722778,27.4300499,20.71732712,6.712722778,5.6928,18.22609507
BigainHill1,BigainHill1_15,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,15,BigainHill1,16.58801985,15.84870052,4.22214439,6.098438263,27.46484566,21.36640739,6.098438263,6.3355,18.22609507
BigainHill1,BigainHill1_16,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,16,BigainHill1,17.61110523,15.59110546,5.255241954,3.687591076,28.29177475,24.60418367,3.687591076,9.1575,18.22609507
BigainHill1,BigainHill1_17,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,17,BigainHill1,18.93310775,18.04065323,6.50483029,1.380890727,32.45591354,31.07502282,15.52086067,9.8684,18.22609507
BigainHill1,BigainHill1_18,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,18,BigainHill1,17.09143998,14.28013325,8.008058613,3.775322676,32.50689316,28.73157048,3.775322676,14.8734,18.22609507
BigainHill1,BigainHill1_19,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,19,BigainHill1,17.21146396,15.11307716,7.06535704,2.213242054,33.36022949,31.14698744,2.213242054,9.9215,18.22609507
BigainHill1,BigainHill1_20,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,20,BigainHill1,17.13390669,17.18159771,7.486774013,3.607860804,33.0507164,29.4428556,3.607860804,12.079,18.22609507
BigainHill1,BigainHill1_21,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,21,BigainHill1,15.89075087,13.86336756,6.814035934,4.972924232,32.35108566,27.37816143,4.972924232,10.2965,18.22609507
BigainHill1,BigainHill1_22,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,22,BigainHill1,13.61692116,10.81595039,7.499765817,3.373554707,31.48892021,28.11536551,3.373554707,11.62455,18.22609507
BigainHill1,BigainHill1_23,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,23,BigainHill1,15.66300887,13.86645746,6.941079381,2.04353857,30.26848221,28.22494364,2.04353857,12.16799,18.22609507
BigainHill1,BigainHill1_24,13.895479,121.076,16.4521,117.378,BigainHill1,No data,normal,Small flat cone,,,,24,BigainHill1,16.20161502,14.19809628,5.907658801,5.737604618,29.61079216,23.87318754,5.737604618,9.3398,18.22609507
